id_proposal,title_proposal,votes,scores_total,selected_choice,forum_topic_id,polarity,subjectivity
0x029f9208ec4560c5c4868bcf1a5633ffb15aa69f5000fbaa22146632b440188a,SpartaDEX STIP Proposal - Round 1,18001,109391958.84415284,Against,16709,0.12017279432756749,0.5229250089368488
0x03e61c8225487f2ff6305c91ce37af31853e6c09f557ad6c10db188d21e85f24,TIDE STIP Proposal - Round 1,15873,132463186.95673947,For,17314,0.16481976743586652,0.43952586714970615
0x070a960cf0d8824badc07f0478040a16e92959c71b6e1ca49e67d96714dabc42,Curve STIP Proposal - Round 1,21353,136328438.41619647,For,17198,0.1246977286557238,0.5225377947719668
0x07a26cd6b78a41745aab04190f22e97fdf9432f564651d0c4da0f8d0827888a6,Proposal: [Non-Constitutional] Funding for Into the Dungeons: Machinata - a PvP Digital Miniature Game V2,25845,149583279.43808368,Against,21025,0.1316007499229419,0.48744969471463073
0x0908edd135f544cdf93dd628bf9813b0f3af517c6d87838a42639885b8bb9fb3,RabbitHole STIP Proposal - Round 1,18303,165920169.5359508,For,17159,0.11637475641906529,0.5579334957071824
0x0aca1e2dd1d7ac5f6b687fe68fc8ed11affbb0ea261511736cc50498d55006a2,Wormhole STIP Proposal - Round 1,17890,141324861.0554794,For,16617,0.1595543881586259,0.4993101023855522
0x0d9fd9f880615a320fa1294264d317228f0479d7f7f146f5c9683f1cb27f814b,Stargate Finance STIP Proposal - Round 1,18899,156564482.99431157,For,17507,0.1700124007936508,0.46895330517759315
0x1281a058914a2fcf91b45098a8be812da69fc4fe46158a07ed02225f37816818,Furucombo STIP Proposal - Round 1,22011,140490670.20438272,For,17102,0.19144588744588742,0.4791237651237651
0x14dceb2c20209f29b536c1d9e7cd56445a66d20df9d1009f5024f9e7dcc6aab2,OmniBTC STIP Proposal - Round 1,17922,113925942.05330521,Against,17300,0.19006250795772855,0.5310539550748529
0x1a0a7bee0c5b13a690275031c44d8b5efe78b86d86f6d2357299020e7a907d57,Timeline Extension for STIP and Backfund Grantees,37414,157391387.87576678,Extend deadline for both,19819,0.20647092155513208,0.46783177186071917
0x1a2036dbf130685400071d8079a1b77c133f882d57d2121c027f490d6825a78c,ZKasino STIP Proposal - Round 1,20293,130645227.55912776,Against,17408,0.08586447594508614,0.4442715549615612
0x1ac6079871dc4af55b7d67eae130e4c1bbcbabd9bb35405bc1733ef2efe45875,Consolidate Security Proposals into a RFP Process,50045,187543831.7430367,For,19328,0.15940044598258885,0.46095591535191566
0x1e5052579c5ed931f90e03e59f34274ba0a006093a6eeeab65e5e4df552668cc,Pilot Program Advisor Elections,33283,212523062.34948748,JoJo,20329,0.16645475891992934,0.4651917001773989
0x2012049c10ea411c7fcb99d0aacf7348084313e7b78c2170ffb5d93542175319,Vertex Protocol STIP Proposal - Round 1,21941,180883982.5273924,For,17435,0.19105571891508044,0.5117981128923534
0x2060bdfca68c00be3478e23b2b749b684e0034ee79d692023e6551f1a44615ae,Chronos Finance STIP Proposal - Round 1,16281,116201159.28353454,Against,17035,0.1326358195463726,0.48318196987151324
0x22012b7a25907379133a599b89b96572567045d04b26f85f1b4990c5cdb31c7a,CVI STIP Proposal - Round 1,18290,110932950.03647019,For,17024,0.10926615483086975,0.6123736392549143
